Store Code,POD code,Bills,Amount,Ave Bill
MT,G-06,47,32038,681.66
LQ,I-06,150,102252,681.68
WT,J-09,280,190879,681.71
SH,C-04,101,68869,681.87
TC,C-08,4,2728,682
SA,G-11,137,93455,682.15
MH,E-03,1270,866333,682.15
JD,E-05,235,160308,682.16
GH,E-08,950,648050,682.16
RL,G-09,215,146671,682.19
TZ,G-08,588,401164,682.25
YH,C-03,539,367772,682.32
PW,J-05,602,410765,682.33
CP,C-66,173,118046,682.35
LC,E-08,187,127605,682.38
GH,C-05,562,383508,682.4
YJ,H-06,392,267549,682.52
JW,E-06,142,96922,682.55
ZT,C-06,153,104439,682.61
TT,D-12,3,2048,682.67
LY,F-05,76,51883,682.67
FG,E-03,241,164572,682.87
XS,A-03,354,241750,682.91
CP,D-05,1757,1199894,682.92
PJ,C-06,126,86055,682.98
LZ,C-04,513,350373,682.99
SD,C-02,65,44395,683
MD,H-04,427,291664,683.05
RM,K-05,120,81993,683.28
DX,X-98,164,112058,683.28
TL,G-07,49,33484,683.35
CZ,D-03,406,277447,683.37
AK,K-06,521,356041,683.38
CM,F-08,567,387515,683.45
MJ,G-05,24,16404,683.5
PT,G-09,995,680287,683.71
HM,C-06,52,35556,683.77
KZ,D-06,67,45816,683.82
LG,B-02,611,417895,683.95
HT,E-06,4,2736,684
AK,H-04,35,23942,684.06
PW,I-04,335,229177,684.11
CP,C-07,592,404991,684.11
NS,F-06,308,210746,684.24
TZ,E-08,861,589224,684.35
TC,D-03,315,215577,684.37
HJ,J-06,386,264179,684.4
CU,F-06,152,104033,684.43
CP,D-08,2,1369,684.5
HD,C-07,489,334752,684.56
HD,G-06,44,30126,684.68
DS,G-01,194,132848,684.78
LU,D-03,316,216390,684.78
LG,A-04,754,516353,684.82
DZ,X-98,976,668385,684.82
CM,E-08,422,289003,684.84
GH,F-07,821,562285,684.88
RL,F-09,354,242496,685.02
JW,G-05,240,164406,685.03
PL,C-09,52,35623,685.06
DS,D-09,130,89061,685.08
WG,X-98,412,282332,685.27
HX,G-12,302,206959,685.29
DN,G-04,736,504377,685.29
JW,F-06,299,204913,685.33
TB,G-06,132,90477,685.43
NL,E-08,413,283095,685.46
NN,D-05,166,113803,685.56
JH,H-06,607,416145,685.58
NZ,E-06,713,488840,685.61
TF,I-05,267,183061,685.62
NL,E-06,1015,695947,685.66
NC,H-10,3,2057,685.67
UM,B-02,2049,1405110,685.75
TL,C-07,386,264728,685.82
YP,E-04,60,41150,685.83
NS,B-07,297,203755,686.04
IL,C-07,1484,1018255,686.16
LU,E-06,661,453556,686.17
TY,E-05,584,400731,686.18
TI,E-06,412,282711,686.19
TP,C-06,68,46662,686.21
QH,L-03,117,80286,686.21
XU,X-98,14,9608,686.29
HM,G-04,72,49415,686.32
ZK,E-05,51,35005,686.37
MQ,E-05,955,655588,686.48
NA,L-13,707,485359,686.5
CJ,D-02,365,250593,686.56
LS,J-12,7,4806,686.57
JL,X-98,57,39141,686.68
ZH,X-98,451,309723,686.75
KW,J-06,485,333076,686.75
UC,Others,621,426475,686.76
YD,I-07,52,35717,686.87
WT,K-10,164,112651,686.9
MT,E-04,499,342782,686.94
PW,E-02,117,80376,686.97
LJ,D-05,209,143581,686.99
ML,C-19,1,687,687
BT,G-07,730,501517,687.01
FD,A-02,501,344213,687.05
JB,G-02,117,80389,687.09
PE,G-03,465,319496,687.09
MA,F-07,298,204768,687.14
LZ,D-04,98,67346,687.2
ZK,D-03,384,263934,687.33
BD,F-05,96,65985,687.34
MG,F-05,1104,758891,687.4
XU,D-04,280,192507,687.53
TR,C-01,721,495707,687.53
KS,G-07,497,341726,687.58
WZ,M-07,29,19944,687.72
DU,E-01,71,48828,687.72
CZ,C-05,831,571492,687.72
JL,G-05,153,105223,687.73
JC,E-08,133,91471,687.75
PH,E-05,688,473197,687.79
RM,I-08,131,90104,687.82
FD,X-99,183,125885,687.9
HX,F-13,84,57788,687.95
DO,D-05,204,140350,687.99
PK,D-06,357,245640,688.07
UH,I-04,411,282804,688.09
CM,D-06,338,232580,688.11
JR,J-03,624,429382,688.11
SL,C-03,226,155528,688.18
SD,C-04,708,487241,688.19
HF,E-04,1402,964850,688.2
HG,C-03,384,264288,688.25
LT,D-06,288,198223,688.27
PV,C-01,1297,892838,688.39
CK,G-09,392,269860,688.42
WL,D-03,1249,859912,688.48
KT,C-05,768,528848,688.6
FY,G-06,369,254109,688.64
HF,D-04,6,4132,688.67
DC,C-08,837,576446,688.7
ZS,E-03,309,212821,688.74
JS,M-01,322,221808,688.84
PS,I-10,26,17911,688.88
MJ,E-02,1740,1198676,688.89
SH,G-02,665,458117,688.9
HI,H-04,225,155023,688.99
CP,C-03,1111,765498,689.02
PH,E-02,1023,704876,689.03
UH,X-98,95,65459,689.04
JH,D-04,240,165376,689.07
WJ,E-05,25,17228,689.12
HD,E-04,36,24810,689.17
ZK,G-04,98,67545,689.23
RL,G-03,388,267433,689.26
LG,C-02,171,117869,689.29
LF,F-03,775,534216,689.31
PK,D-07,614,423286,689.39
TZ,G-05,195,134441,689.44
RL,E-08,234,161330,689.44
TB,H-05,535,368865,689.47
ZS,E-04,454,313075,689.59
LY,D-03,3,2069,689.67
DJ,B-04,25,17243,689.72
BT,I-05,272,187618,689.77
CU,I-08,715,493184,689.77
RL,E-09,5,3449,689.8
HH,H-06,20,13798,689.9
DO,H-04,240,165591,689.96
CL,G-03,439,302949,690.09
MT,E-06,374,258123,690.17
ZY,D-07,849,585953,690.17
JH,K-06,417,287808,690.19
YW,D-03,239,164972,690.26
ZS,C-05,9,6213,690.33
CA,C3,27,18639,690.33
WZ,K-08,33,22781,690.33
JI,F-03,432,298272,690.44
PW,D-06,1616,1115747,690.44
FG,F-04,89,61461,690.57
YN,B-03,573,395697,690.57
HH,E-05,1133,782487,690.63
HD,D-04,769,531110,690.65
JI,K-05,724,500087,690.73
SP,H-08,516,356453,690.8
DM,k-06,46,31778,690.83
TS,C-08,421,290917,691.01
GH,C-07,1211,836824,691.02
YW,F-09,16,11059,691.19
JD,G-03,288,199089,691.28
UC,D-04,117,80899,691.44
HM,F-05,480,331903,691.46
MA,G-04,431,298032,691.49
LI,C-02,408,282142,691.52
CK,E-06,334,230981,691.56
SZ,D-05,365,252421,691.56
DK,E-04,1080,746939,691.61
PC,D-04,363,251059,691.62
PF,A-01,1062,734498,691.62
JE,E-07,43,29741,691.65
RZ,D-03,495,342366,691.65
DM,K-04,251,173617,691.7
JL,J-07,134,92697,691.77
WT,F-08,462,319607,691.79
NC,I-06,724,500888,691.83
ML,J-03,402,278139,691.89
DT,C-05,537,371604,692
NS,D-04,103,71284,692.08
RL,G-04,332,229794,692.15
CG,H-04,12,8306,692.17
KZ,E-05,287,198662,692.2
NS,D-08,108,74760,692.22
DO,G-06,391,270661,692.23
CG,D-03,566,391806,692.24
AN,F-05,390,269986,692.27
LZ,X-98,36,24922,692.28
PS,X-98,569,393924,692.31
JD,H-04,193,133617,692.32
NS,B-02,44,30465,692.39
TO,F-06,16,11080,692.5
SN,K-05,313,216776,692.58
PT,B-04,289,200158,692.59
PW,E-06,777,538210,692.68
MA,E-03,472,326955,692.7
CQ,D-99,487,337345,692.7
ZS,E-05,181,125397,692.8
PM,D-07,217,150351,692.86
JW,H-05,509,352683,692.89
XH,D-02,107,74144,692.93
DR,K-06,293,203062,693.04
PC,E-02,901,624496,693.11
LD,I-06,431,298746,693.15
MS,F-05,469,325101,693.18
PD,E-08,867,601062,693.27
JS,H-02,270,187186,693.28
ZK,F-06,387,268315,693.32
AE,E-05,639,443039,693.33
WT,H-05,116,80432,693.38
TY,D-04,697,483332,693.45
PJ,D-11,371,257276,693.47
JD,I-04,265,183773,693.48
UG,H-03,192,133152,693.5
CC,F-05,209,144952,693.55
HX,G-09,204,141493,693.59
SN,J-10,470,325990,693.6
GS,J-02,196,135947,693.61
PW,I-07,292,202550,693.66
BL,E-05,36,24972,693.67
JP,D-06,451,312846,693.67
DC,B-05,671,465485,693.72
WT,I-06,308,213684,693.78
LY,G-03,25,17345,693.8
NS,B-04,309,214385,693.8
YH,A-02,69,47885,693.99
DO,I-85,2,1388,694
HL,I-05,1131,784957,694.04
YN,B-02,375,260292,694.11
WG,D-06,2353,1633300,694.14
CM,G-06,144,99959,694.16
NQ,I-08,944,655298,694.17
SL,D-06,79,54847,694.27
YD,F-07,246,170820,694.39
ZK,E-04,248,172224,694.45
PS,I-08,9,6251,694.56
MS,J-05,373,259071,694.56
PF,A-03,898,623765,694.62
TA,A-03,439,304945,694.64
NS,C-09,141,97947,694.66
KC,H-07,1050,729449,694.71
DA,E-01,1251,869091,694.72
HR,J-07,14,9727,694.79
BT,G-05,137,95192,694.83
LW,G-05,1781,1237492,694.83
MJ,C-02,1948,1353669,694.9
WT,I-07,234,162627,694.99
IC,99,1,695,695
SU,G-05,1,695,695
TO,X-99,1,695,695
FH,X-98,132,91747,695.05
DY,D-07,563,391316,695.06
PS,D-08,15,10426,695.07
CP,D-77,136,94532,695.09
TH,F-03,557,387193,695.14
JG,G-05,228,158494,695.15
DR,I-05,265,184225,695.19
HJ,K-04,313,217617,695.26
KS,F-07,164,114043,695.38
KT,X-99,216,150205,695.39
ML,J-05,427,296932,695.39
CZ,C-09,872,606456,695.48
CU,D-06,432,300482,695.56
PC,E-04,722,502215,695.59
DM,G-05,362,251829,695.66
LF,F-04,1630,1134049,695.74
CL,E-03,534,371548,695.78
PJ,E-08,235,163535,695.89
NA,L-10,400,278423,696.06
WT,J-12,293,203969,696.14
PH,H-03,420,292377,696.14
ET,E-05,132,91905,696.25
SZ,C-07,284,197752,696.31
DN,I-07,362,252066,696.31
ZS,D-05,90,62670,696.33
QD,Others,113,78689,696.36
TW,D-11,185,128861,696.55
CT,H-05,1342,935175,696.85
XW,M-02,7,4878,696.86
ZU,E-04,321,223728,696.97
TP,C-04,132,92010,697.05
TZ,F-09,405,282312,697.07
JS,G-01,549,382706,697.1
TP,E-05,73,50892,697.15
NS,B-03,304,211955,697.22
CP,Others,730,509025,697.29
TK,C-03,445,310299,697.3
KZ,E-10,18,12554,697.44
MA,D-06,777,541950,697.49
RJ,C-03,26,18136,697.54
YH,C-05,240,167417,697.57
CA,F3,41,28601,697.59
LU,D-05,1371,956435,697.62
YH,E-02,841,586741,697.67
SC,I-04,763,532354,697.71
JB,G-01,178,124204,697.78
FG,E-04,326,227484,697.8
BL,G-5,1179,822756,697.84
PS,H-7,424,295888,697.85
YS,F-04,1460,1018994,697.94
NA,O-12,453,316204,698.02
DT,E-04,415,289694,698.06
ET,G-08,172,120068,698.07
EH,D-04,103,71904,698.1
DZ,E-04,306,213620,698.1
KC,K-12,587,409785,698.1
WZ,L-07,275,191983,698.12
LW,E-04,704,491485,698.13
PJ,F-11,583,407116,698.31
ZH,E-03,270,188546,698.32
FD,A-01,1518,1060110,698.36
AH,E-06,865,604111,698.39
AK,J-06,1687,1178219,698.41
CP,D-04,154,107558,698.43
NC,J-08,2,1397,698.5
KW,F-04,4,2794,698.5
MO,C-05,21,14670,698.57
CK,D-09,164,114580,698.66
KZ,E-06,223,155804,698.67
YN,C-07,837,584807,698.69
LQ,G-08,171,119477,698.7
MJ,X-98,226,157908,698.71
EH,X-99,4,2795,698.75
DJ,B-06,1543,1078164,698.75
WF,F-04,2013,1406650,698.78
WL,D-05,1129,788992,698.84
RL,F-08,135,94345,698.85
YG,G-04,42,29352,698.86
NZ,C-08,460,321491,698.89
HJ,I-03,936,654173,698.9
MS,D-05,110,76880,698.91
SZ,H-03,1052,735285,698.94
TP,X-98,113,78982,698.96
LG,D-02,1,699,699
TU,C-02,136,95078,699.1
SW,I-04,110,76908,699.16
UG,E-03,647,452402,699.23
DZ,D-04,1136,794435,699.33
KC,G-06,1211,846954,699.38
FH,E-03,490,342752,699.49
HD,C-08,886,619781,699.53
FA,E-03,432,302208,699.56
YK,I-06,36,25186,699.61
MX,B-02,74,51772,699.62
PK,D-08,537,375705,699.64
YK,F-07,23,16092,699.65
YJ,K-02,777,543822,699.9
RL,H-05,414,289777,699.94
TS,D-10,1018,712560,699.96
TL,E-05,155,108502,700.01
TU,F-02,3676,2573259,700.02
TK,D-06,1050,735038,700.04
HF,E-07,817,571956,700.07
JK,H-08,749,524385,700.11
FD,C-02,1547,1083147,700.16
DJ,B-03,2006,1404532,700.17
DY,D-05,77,53927,700.35
KW,K-05,130,91046,700.35
TB,L-08,1119,783888,700.53
AK,F-05,1166,816861,700.57
NS,D-09,295,206681,700.61
YJ,H-02,196,137328,700.65
WL,F-03,953,667733,700.66
YK,H-06,195,136644,700.74
PW,H-04,505,353876,700.74
AN,F-06,360,252281,700.78
HI,F-06,182,127605,701.13
PU,C-03,43,30149,701.14
TG,C-03,6,4207,701.17
MJ,C-05,6,4207,701.17
LW,K-04,5,3506,701.2
SP,H-06,614,430552,701.22
SW,F-04,68,47690,701.32
TS,E-06,142,99592,701.35
DT,F-08,578,405409,701.4
TZ,H-06,26,18239,701.5
PF,B-03,324,227324,701.62
YJ,E-05,261,183141,701.69
TI,C-08,600,421022,701.7
CA,E3,55,38597,701.76
JK,F-05,135,94759,701.92
RM,K-08,60,42117,701.95
DJ,C-10,656,460477,701.95
LF,D-03,966,678081,701.95
TB,2,2,1404,702
NL,F-04,243,170586,702
DT,G-07,262,183929,702.02
HS,F-06,586,411394,702.04
PS,E-6,586,411402,702.05
HT,G-05,1020,716113,702.07
AP,J-03,18,12638,702.11
PJ,F-06,266,186777,702.17
RZ,I-04,358,251417,702.28
CT,G-03,583,409431,702.28
WL,H-05,511,358881,702.31
TY,E-04,442,310426,702.32
HF,C-07,503,353280,702.35
WQ,F-05,151,106067,702.43
CQ,X-99,249,174921,702.49
FY,X-98,354,248683,702.49
YS,H-07,293,205844,702.54
YD,H-08,716,503050,702.58
SZ,F-07,869,610547,702.59
YT,H-06,1619,1137670,702.7
FA,F-07,216,151791,702.74
YD,G-09,910,639595,702.85
JR,I-08,722,507496,702.9
HG,E-02,226,158857,702.91
CG,B-03,586,411925,702.94
PV,E-01,263,184875,702.95
DS,D-06,139,97714,702.98
JL,K-05,502,352895,702.98
WT,I-05,185,130054,702.99
LC,D-09,1,703,703
PE,E-01,908,638350,703.03
JI,X-98,144,101251,703.13
DO,J-04,486,341729,703.15
KG,D-05,363,255250,703.17
TK,D-04,1526,1073039,703.17
JB,F-03,22,15472,703.27
KT,C-03,615,432516,703.28
MQ,C-07,1164,818620,703.28
JB,J -0,159,111826,703.31
DK,E-05,1020,717410,703.34
WL,3,2,1407,703.5
TI,E-04,4,2814,703.5
LW,H-04,577,406022,703.68
CU,E-06,343,241383,703.74
PW,F-06,1223,860797,703.84
MA,D-07,543,382192,703.85
GM,D-07,705,496268,703.93
LQ,G-07,207,145718,703.95
FA,F-04,274,192886,703.96
TL,L-06,1,704,704
LI,A-05,1463,1030056,704.07
JH,D-02,700,492866,704.09
CG,G-02,1037,730186,704.13
LS,H-02,72,50707,704.26
CQ,C-11,163,114794,704.26
DN,G-07,553,389543,704.42
TT,C-06,204,143719,704.5
CC,2,13,9159,704.54
DN,L-03,101,71175,704.7
CG,F-03,343,241722,704.73
TR,A-04,181,127568,704.8
AK,Others,474,334079,704.81
MD,G-03,1164,820414,704.82
KI,D-03,82,57797,704.84
ZT,C-04,901,635078,704.86
CC,X-98,181,127589,704.91
SA,E-05,1,705,705
LD,K-06,97,68388,705.03
FW,X-98,101,71214,705.09
YN,E-03,288,203073,705.11
DA,F-03,1093,770727,705.15
TF,F-05,101,71224,705.19
YK,X-98,235,165734,705.25
YD,F-08,397,280007,705.31
NA,G-04,349,246159,705.33
HF,E-08,519,366068,705.33
JB,H-02,58,40914,705.41
JA,C-04,166,117110,705.48
UH,C-05,369,260327,705.49
UC,C-07,377,265974,705.5
CZ,F-03,537,378855,705.5
QD,E-03,150,105827,705.51
CZ,C-08,464,327384,705.57
IL,E-06,5,3528,705.6
YH,A-03,669,472127,705.72
EH,C-06,675,476394,705.77
PD,E-07,949,669806,705.8
ML,K-09,122,86127,705.96
CU,H-10,451,318396,705.98
DA,A-01,4,2824,706
DO,X-98,202,142641,706.14
WQ,E-05,241,170182,706.15
JW,C-03,558,394030,706.15
PU,F-05,38,26835,706.18
JU,C-09,214,151129,706.21
PC,C-03,447,315702,706.27
CG,D-04,419,295987,706.41
SC,G-05,290,204888,706.51
HG,F-01,128,90447,706.62
YG,G-03,341,240956,706.62
YM,B-02,880,621914,706.72
CM,F-06,257,181637,706.76
ZH,G-05,62,43837,707.05
ML,H-04,206,145662,707.1
JW,J-04,1263,893132,707.15
PU,F-03,4,2829,707.25
CT,J-05,8,5659,707.38
DS,D-03,2,1415,707.5
YS,G-07,434,307069,707.53
MG,E-02,523,370072,707.59
MA,F-03,274,193886,707.61
CL,H-03,696,492512,707.63
JK,G-10,264,186820,707.65
CJ,E-03,409,289506,707.84
NS,F-09,1163,823350,707.95
DC,B-10,1948,1379185,708
WJ,D-07,49,34695,708.06
KI,X-98,14,9913,708.07
UC,J-07,309,218804,708.1
HL,G-06,218,154375,708.14
ZT,X-98,54,38240,708.15
YK,F-05,1201,850504,708.16
NJ,I-05,246,174212,708.18
HM,I-06,242,171394,708.24
SP,G-05,388,274806,708.26
SL,H-11,3,2125,708.33
ZH,G-03,376,266390,708.48
BL,F-3,1490,1055771,708.57
MX,D-04,254,179981,708.59
PU,F-06,15,10629,708.6
PW,F-03,935,662542,708.6
CF,J-07,1607,1138879,708.7
DL,H-03,736,521749,708.9
PS,H-05,1,709,709
TW,E-06,4,2836,709
GH,E-04,222,157402,709.02
UC,C-06,172,121966,709.1
WZ,E-06,716,507735,709.13
WL,G-05,766,543194,709.13
JG,E-03,879,623427,709.25
SH,A-01,316,224136,709.29
YN,C-08,406,287988,709.33
WT,I-11,736,522083,709.35
TL,H-10,62,43988,709.48
PJ,H-11,96,68117,709.55
SP,I-03,132,93664,709.58
SU,E-06,230,163212,709.62
HU,F-02,13,9227,709.77
NS,G-09,103,73116,709.86
TF,G-04,526,373385,709.86
CG,C-03,491,348546,709.87
SQ,E-05,324,230010,709.91
DT,H-07,678,481358,709.97
KW,J-09,2685,1906334,709.99
AN,D-03,343,243564,710.1
PF,B-01,935,664054,710.22
HM,I-05,329,233724,710.41
CL,D-07,219,155584,710.43
NY,D-06,241,171219,710.45
GS,L-07,1041,739679,710.55
TR,X-99,9,6395,710.56
HX,D-07,211,149931,710.57
HK,X-98,115,81718,710.59
PT,G-06,290,206121,710.76
JK,I-07,270,191926,710.84
GH,H-04,1199,852295,710.84
SS,E-08,452,321333,710.91
PC,B-02,906,644111,710.94
ST,C-07,1048,745110,710.98
JI,D-04,725,515498,711.03
LD,H-04,348,247463,711.1
CM,E-09,475,337786,711.13
DY,H-07,522,371217,711.14
JR,G-01,951,676357,711.21
SL,X-98,56,39829,711.23
PD,F-04,359,255369,711.33
ZH,G-04,202,143695,711.36
BD,G-07,131,93189,711.37
HF,F-05,597,424688,711.37
ML,E-06,366,260394,711.46
LU,C-04,908,646054,711.51
JK,I-06,278,197806,711.53
MT,F-08,692,492409,711.57
YS,I-06,504,358639,711.59
WF,D-04,104,74010,711.63
YN,E-02,224,159419,711.69
CZ,E-04,1326,943711,711.7
MT,G-09,69,49109,711.72
MT,C-05,494,351749,712.04
TY,D-06,815,580323,712.05
OL,X-98,326,232156,712.13
HH,D-05,950,676537,712.14
CM,D-08,225,160236,712.16
YN,C-02,241,171634,712.17
TR,B-05,251,178757,712.18
PW,H-06,259,184470,712.24
PJ,C-12,1065,758563,712.27
CC,J-05,344,245051,712.36
HF,C-09,319,227246,712.37
SP,I-07,493,351226,712.43
WQ,D-04,1213,864242,712.48
DR,I-03,243,173143,712.52
PV,X-98,2696,1921065,712.56
YN,E-07,291,207367,712.6
JL,J-06,233,166039,712.61
ZY,E-05,363,258680,712.62
YS,D-09,329,234458,712.64
ZT,C-05,339,241620,712.74
WF,D-07,46,32792,712.87
CC,K-03,535,381431,712.96
HF,E-06,755,538308,712.99
TL,H-09,81,57759,713.07
TW,D-08,215,153323,713.13
RZ,E-03,889,633999,713.16
PJ,E-10,574,409381,713.21
JN,G-01,210,149777,713.22
XW,M-04,13,9272,713.23
JB,F-04,45,32098,713.29
WT,H-10,599,427262,713.29
CL,X-98,115,82048,713.46
CX,C-06,408,291111,713.51
MD,D-04,361,257591,713.55
XH,C-07,15,10704,713.6
LT,D-05,424,302610,713.7
FS,H-05,521,371836,713.7
DN,X-99,175,124904,713.74
ZK,E-06,91,64962,713.87
MQ,C-08,1583,1130105,713.9
TC,C-07,1,714,714
XS,C-02,718,512670,714.03
SZ,F-04,1119,799060,714.08
JL,E-05,317,226373,714.11
SC,H-05,976,696977,714.12
SZ,E-01,1732,1236916,714.15
HM,I-07,71,50706,714.17
DM,E-07,148,105703,714.21
CM,E-05,1091,779221,714.23
FS,G-09,237,169288,714.3
JK,D-06,253,180748,714.42
TR,B-01,4240,3029256,714.45
LC,E-07,553,395107,714.48
PT,D-07,351,250793,714.51
UH,H-04,342,244378,714.56
CC,G-05,976,697509,714.66
DX,C-09,1755,1254230,714.66
MO,E-06,118,84343,714.77
SZ,C-06,253,180848,714.81
KD,F-02,85,60762,714.85
MA,F-04,457,326702,714.88
JW,G-02,62,44324,714.9
JR,F-01,882,630582,714.95
ML,J-06,130,92946,714.97
XS,C-09,310,221649,715
LI,A-04,370,264550,715
YP,D-05,74,52913,715.04
TZ,F-08,186,133005,715.08
HS,E-10,361,258170,715.15
HS,E-06,722,516343,715.16
SL,F-01,113,80816,715.19
EH,X-98,331,236751,715.26
DM,D-05,59,42201,715.27
UH,I-03,318,227460,715.28
UM,A-02,749,535769,715.31
TW,D-09,207,148071,715.32
JP,C-04,62,44353,715.37
DN,X-98,1232,881391,715.41
MZ,D-04,9,6439,715.44
JU,G-04,105,75124,715.47
PS,F-7,635,454322,715.47
ZH,E-04,222,158857,715.57
TH,G-51,80,57247,715.59
TC,C-01,317,226843,715.59
LW,E-05,2749,1967266,715.63
NL,D-07,253,181064,715.67
NS,B-08,243,173927,715.75
KW,F-05,17,12168,715.76
CG,B-04,607,434464,715.76
HS,D-06,447,319958,715.79
MS,J-08,238,170417,716.04
AK,I-06,1781,1275376,716.1
PC,E-08,11,7881,716.45
PJ,C-08,13,9314,716.46
CK,D-05,1450,1038909,716.49
UG,D-03,824,590397,716.5
LD,L-05,461,330311,716.51
PK,D-05,764,547439,716.54
PU,E-05,95,68082,716.65
HN,B-03,230,164859,716.78
DT,D-05,471,337606,716.79
PJ,E-05,414,296758,716.81
EG,C-04,27,19356,716.89
CG,X-98,1,717,717
HF,G-05,454,325545,717.06
JD,E-03,261,187173,717.14
EH,C-09,56,40161,717.16
JB,K-02,281,201522,717.16
FA,D-07,245,175720,717.22
YG,F-05,191,136993,717.24
NL,D-05,291,208753,717.36
JN,D-02,172,123392,717.4
DR,X-98,117,83950,717.52
SU,E-07,725,520222,717.55
FS,E-06,318,228200,717.61
LH,B-10,583,418460,717.77
MT,H-05,172,123470,717.85
RS,D-03,693,497488,717.88
FG,G-11,75,53844,717.92
PW,E-03,860,617434,717.95
LG,H-08,556,399184,717.96
KT,C-06,701,503291,717.96
XS,C-05,324,232623,717.97
YN,E-08,85,61028,717.98
KC,F-04,1815,1303258,718.05
LI,C-05,950,682201,718.11
XS,E-02,570,409376,718.2
JK,G-08,846,607639,718.25
YL,X-98,318,228435,718.35
AH,D-06,256,183900,718.36
WT,L-07,241,173142,718.43
NJ,C-04,112,80470,718.48
JK,H-09,2,1437,718.5
FG,H-06,192,137961,718.55
PZ,C-03,409,293900,718.58
XU,E-03,281,201948,718.68
CF,E-08,759,545487,718.69
AK,E-05,464,333491,718.73
CU,D-05,446,320591,718.81
TN,G-05,526,378103,718.83
WL,H-04,677,486653,718.84
TH,G-06,803,577234,718.85
PZ,X-98,181,130116,718.87
PT,G-08,542,389644,718.9
HF,99,5,3595,719
FA,D-04,130,93474,719.03
TO,E-06,198,142375,719.07
PM,F-07,271,194893,719.16
LZ,E-07,128,92068,719.28
DJ,B-10,486,349608,719.36
DU,B-01,208,149629,719.37
DN,K-06,909,653931,719.4
NC,H-03,483,347506,719.47
HU,F-04,88,63319,719.53
TI,D-03,25,17989,719.56
ET,H-06,232,166938,719.56
TZ,G-06,234,168396,719.64
NS,E-06,27,19431,719.67
KI,C-03,519,373518,719.69
TD,E-03,80,57578,719.73
JR,J-0I,925,665757,719.74
HT,H-07,918,660743,719.76
DX,D-10,913,657180,719.8
GM,F-07,934,672327,719.84
FG,2,8,5759,719.88
HM,H-06,293,210930,719.9
TC,C-12,4,2880,720
LC,B-05,6,4320,720
XS,D-02,2121,1527114,720
RZ,J-06,97,69844,720.04
JA,B-03,11,7923,720.27
XL,C-03,11,7923,720.27
WZ,L-06,265,190934,720.51
PM,H-05,220,158524,720.56
TR,A-02,1197,862570,720.61
YH,F-07,115,82871,720.62
ZK,F-03,204,147009,720.63
UL,E-05,949,683912,720.67
TK,E-07,1846,1330349,720.67
RM,K-10,72,51893,720.74
CJ,B-05,816,588121,720.74
JW,H-04,369,265967,720.78
ET,F-05,724,521849,720.79
DT,G-06,286,206167,720.86
TD,A-01,3,2163,721
JE,E-06,103,74267,721.04
LH,D-08,1372,989282,721.05
PS,D-11,18,12979,721.06
PZ,F-04,43,31006,721.07
JU,G-05,105,75712,721.07
CG,G-05,11,7933,721.18
KD,C-02,447,322367,721.18
SC,D-04,27,19472,721.19
FG,H-08,566,408218,721.23
PJ,G-05,746,538085,721.29
JW,J-03,480,346225,721.3
ML,F-05,567,409005,721.35
DR,F-03,125,90170,721.36
PT,B-09,239,172406,721.36
IC,F-03,242,174589,721.44
WJ,D-05,169,121940,721.54
LH,B-11,483,348515,721.56
ZH,D-04,296,213589,721.58
HT,G-09,2908,2098843,721.75
TF,J-05,6,4331,721.83
CQ,C-09,287,207182,721.89
AK,J-12,43,31042,721.91
BK,E-06,118,85196,722
PJ,D-06,105,75815,722.05
TK,E-04,1492,1077293,722.05
TB,E-05,424,306218,722.21
JK,E-09,379,273759,722.32
UM,E-02,3,2167,722.33
LU,C-06,650,469542,722.37
WT,I-10,298,215276,722.4
JB,H-03,359,259361,722.45
TH,E-65,248,179180,722.5
FW,K-04,1080,780429,722.62
FG,H-05,192,138763,722.72
CT,H-03,1853,1339449,722.85
DD,B-04,151,109152,722.86
PS,I-7,886,640533,722.95
BK,D-05,95,68682,722.97
SU,F-09,471,340535,723
ZH,F-04,346,250163,723.01
TE,D-03,620,448352,723.15
TC,G-01,735,531582,723.24
LF,E-05,1124,812951,723.27
BD,F-02,44,31825,723.3
PJ,C-07,293,211951,723.38
JU,D-04,530,383391,723.38
TF,X-99,10,7234,723.4
DR,H-04,518,374719,723.4
AP,D-03,764,552720,723.46
ZU,D-05,103,74521,723.5
LC,D-03,820,593345,723.59
SN,L-08,453,327811,723.64
KT,A-02,316,228707,723.76
DX,F-08,1470,1063936,723.77
HR,G-08,247,178777,723.79
DR,G-05,207,149826,723.8
HJ,H-03,1122,812192,723.88
JU,H-04,344,249074,724.05
PD,C-06,451,326549,724.06
FD,L-06,132,95587,724.14
DX,C-08,380,275209,724.23
XW,J-03,68,49248,724.24
SC,E-04,19,13761,724.26
JH,D-01,585,423695,724.26
YM,C-03,1051,761250,724.31
AK,D-05,346,250620,724.34
PJ,G-06,271,196315,724.41
JL,E-06,872,631760,724.5
TW,F-09,382,276785,724.57
PC,B-05,2202,1595493,724.57
CQ,G-06,480,347797,724.58
CF,F-07,2059,1491995,724.62
SK,E-05,98,71014,724.63
FH,E-08,144,104348,724.64
WL,E-03,647,468883,724.7
RJ,F-06,326,236279,724.78
LT,C-07,343,248605,724.8
RL,X-98,248,179774,724.9
JD,F-05,258,187031,724.93
JG,D-03,355,257349,724.93
